sample_title	mouse_line	cre_driver_1	cre_driver_2	cre_reporter	dissection	tdTomato	pass_qc_checks	broad_type	core_intermediate	primary_type	secondary_type	aibs_vignette_id
Calb2_tdTpositive_cell_46	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	upper	positive	Y	Astrocyte	core	Astro Gja1		A1631_VU
Calb2_tdTpositive_cell_48	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	upper	positive	Y	Astrocyte	core	Astro Gja1		A1633_VU
Calb2_tdTpositive_cell_50	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	lower	positive	Y	Astrocyte	core	Astro Gja1		A1635_VL
Calb2_tdTpositive_cell_53	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	lower	positive	Y	Astrocyte	core	Astro Gja1		A1638_VL
Calb2_tdTpositive_cell_58	Calb2	Calb2-IRES-Cre		RCL-tdT (Ai14)	lower	positive	Y	Astrocyte	core	Astro Gja1		A1643_VL
Cux2_tdTnegative_cell_2	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Astrocyte	core	Astro Gja1		C1997n_V23
Cux2_tdTnegative_cell_3	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Astrocyte	core	Astro Gja1		C1998n_V23
Cux2_tdTnegative_cell_4	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Astrocyte	core	Astro Gja1		C1999n_V23
Cux2_tdTnegative_cell_7	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Astrocyte	core	Astro Gja1		C2002n_V23
Cux2_tdTnegative_cell_11	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Astrocyte	core	Astro Gja1		C2006n_V23
Cux2_tdTnegative_cell_13	Cux2	Cux2-CreERT2		RCL-tdT (Ai14)	L1-L2/3	negative	Y	Astrocyte	core	Astro Gja1		C2008n_V23
Gad2_tdTpositive_cell_16	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Astrocyte	core	Astro Gja1		D1231_V
Gad2_tdTpositive_cell_24	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Astrocyte	core	Astro Gja1		D1239_V
Gad2_tdTpositive_cell_30	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Astrocyte	core	Astro Gja1		D1306_V
Gad2_tdTpositive_cell_39	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Astrocyte	core	Astro Gja1		D1317_V
Gad2_tdTpositive_cell_41	Gad2	Gad2-IRES-Cre		RCL-tdT (Ai14)	All	positive	Y	Astrocyte	core	Astro Gja1		D1319_V
Ndnf_tdTnegative_cell_1	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		Nd1958n_V1
Ndnf_tdTnegative_cell_4	Ndnf	Ndnf-IRES2-dgCre		RCL-tdT (Ai14)	L1	negative	Y	Astrocyte	core	Astro Gja1		Nd1961n_V1
