Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
0610007C21RIK	0.755	-0.405	4.543E-03	
0610007P08RIK	0.68	-0.557	1.786E-02	
0610007P14RIK	0.759	-0.398	1.401E-01	
0610007P22RIK	1.214	0.28	2.704E-01	
0610009B22RIK	0.517	-0.952	7.081E-04	Transcribed locus, strongly similar to XP_001092331.1 trafficking protein particle complex 2 [Macac
0610009D07Rik	1.198	0.261	3.096E-01	
0610009O20RIK	0.871	-0.2	2.687E-01	
0610010B08RIK	0.603	-0.731	9.621E-07	
0610010F05RIK	1.281	0.358	2.387E-01	Transcribed locus
0610010K14RIK	0.735	-0.444	3.331E-03	
0610011F06RIK	0.442	-1.177	2.489E-04	
0610011L14RIK	1.245	0.316	1.582E-01	
0610012G03Rik	0.589	-0.763	2.505E-04	
0610030E20RIK	0.772	-0.373	4.944E-02	
0610031J06RIK	0.878	-0.187	3.674E-01	Transcribed locus
0610037P05RIK	0.782	-0.354	1.498E-01	
0610038B21Rik	0.066	-3.919	4.429E-01	
0610039K10Rik	0.58	-0.786	1.700E-02	
0610040B10Rik	0.504	-0.988	4.811E-01	
0610040J01RIK	0.922	-0.117	6.891E-01	RIKEN cDNA 0610040J01 gene
0910001L09RIK	0.691	-0.533	3.606E-04	
1100001G20RIK	0.108	-3.214	2.408E-02	
1110001A16Rik	0.461	-1.118	1.708E-07	
1110001J03RIK	0.655	-0.611	4.689E-02	
1110002B05RIK	0.598	-0.741	2.918E-06	
1110002L01Rik	0.46	-1.121	8.129E-04	
1110003E01RIK	0.654	-0.613	5.499E-05	
1110004E09RIK	0.617	-0.697	2.856E-02	
1110005A03RIK	0.842	-0.248	4.242E-01	
1110006O24Rik	0.143	-2.803	2.741E-07	
1110007C09RIK	0.884	-0.178	5.209E-01	RIKEN cDNA 1110007C09 gene
1110008J03RIK	0.692	-0.531	1.704E-01	
1110008L16RIK	0.579	-0.788	3.575E-02	
1110008P14RIK	0.774	-0.369	8.123E-01	RIKEN cDNA 1110008P14 gene
1110012J17RIK	0.713	-0.487	7.093E-01	
1110012L19RIK	0.76	-0.396	3.881E-01	RIKEN cDNA 1110012L19 gene
1110018G07RIK	0.813	-0.298	8.445E-02	
1110018J18RIK	0.662	-0.594	1.068E-01	
1110020A21Rik	0.247	-2.019	9.936E-02	
1110031I02RIK	0.84	-0.252	5.534E-01	
1110032A03RIK	0.614	-0.704	1.735E-02	Transcribed locus
1110034B05RIK	0.834	-0.262	5.011E-01	
1110034G24RIK	0.671	-0.575	2.903E-02	
1110037F02RIK	0.879	-0.186	2.859E-01	RIKEN cDNA 1110037F02 gene
1110038B12Rik	2.206	1.141	8.617E-09	
1110038D17RIK	1.202	0.266	1.596E-01	
1110038F14RIK	0.926	-0.11	8.572E-01	Transcribed locus
1110051M20RIK	0.93	-0.105	9.518E-01	
1110054O05RIK	0.867	-0.206	2.756E-01	
1110057K04RIK	0.839	-0.253	1.629E-01	Transcribed locus
1110058L19RIK	0.666	-0.586	1.451E-01	RIKEN cDNA 1110058L19 gene
1110059M19Rik	0.065	-3.948	4.700E-02	
1110065P20RIK	1.086	0.119	9.410E-01	
1110067D22RIK	0.769	-0.378	3.777E-01	
1190002H23RIK	0.426	-1.23	6.176E-01	
1190002N15RIK	0.509	-0.973	4.498E-06	RIKEN cDNA 1190002N15 gene
1190003J15RIK	2.307	1.206	9.356E-01	
1190005F20RIK	0.641	-0.642	6.981E-07	
1190005I06RIK	0.202	-2.31	1.649E-01	
1190007F08RIK	0.485	-1.043	1.805E-07	
1190007I07RIK	0.381	-1.392	3.653E-05	
1200011I18RIK	0.843	-0.246	2.140E-01	
1200011M11RIK	1.229	0.297	9.814E-02	
1200014J11RIK	0.921	-0.119	6.055E-01	
1300001I01RIK	1.374	0.459	3.059E-03	
1300002K09RIK	0.017	-5.864	5.973E-02	
1300014I06RIK	0.369	-1.437	1.597E-12	
