Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
CCKBR	11.354	3.505	3.679E-16	Transcribed locus
STX1A	9.6	3.263	2.581E-18	Transcribed locus
PDZRN3	8.87	3.149	1.462E-12	PDZ domain containing RING finger 3
R3HDM1	7.633	2.932	6.577E-13	
RGS4	7.209	2.85	8.042E-18	Regulator of G-protein signaling 4
E130012A19RIK	6.574	2.717	6.320E-16	RIKEN cDNA E130012A19 gene
E430002G05RIK	6.398	2.678	1.465E-14	
EFNA5	6.217	2.636	1.228E-11	Transcribed locus
DDIT4L	6.139	2.618	6.981E-15	DNA-damage-inducible transcript 4-like
KRT12	5.789	2.533	1.035E-22	Keratin 12
SPAG5	5.689	2.508	1.873E-09	Sperm associated antigen 5
NGEF	5.459	2.449	7.163E-10	Neuronal guanine nucleotide exchange factor
TLE6	5.316	2.41	1.295E-14	Transducin-like enhancer of split 6, homolog of Drosophila E(spl)
VIP	5.281	2.401	1.108E-14	
DLK2	5.273	2.399	3.554E-16	Delta-like 2 homolog (Drosophila)
CAMK2A	5.258	2.394	2.778E-10	Calcium/calmodulin-dependent protein kinase II alpha
KCNF1	5.211	2.381	1.441E-14	Potassium voltage-gated channel, subfamily F, member 1
CPNE9	5.188	2.375	1.222E-13	
EMID2	5.042	2.334	3.367E-14	
CUX2	5.035	2.332	1.680E-10	Cut-like 2 (Drosophila)
SORBS2	5.02	2.328	6.448E-11	Transcribed locus
VGF	4.918	2.298	4.453E-08	VGF nerve growth factor inducible
NPTX2	4.761	2.251	1.244E-09	Neuronal pentraxin 2
EG328644	4.727	2.241	1.617E-08	
NRGN	4.676	2.225	1.088E-13	Neurogranin
KCNH3	4.656	2.219	3.649E-17	Potassium voltage-gated channel, subfamily H (eag-related), member 3
CCK	4.548	2.185	2.547E-11	
LIN7B	4.508	2.172	2.674E-07	Lin-7 homolog B (C. elegans)
CACNG3	4.462	2.158	4.686E-13	Calcium channel, voltage-dependent, gamma subunit 3
KCNB1	4.423	2.145	6.415E-11	Potassium voltage gated channel, Shab-related subfamily, member 1
ZFP365	4.317	2.11	1.307E-08	Zinc finger protein 365
SST	4.262	2.091	1.736E-11	
PCDH10	4.247	2.086	3.038E-13	Protocadherin 10
GM484	4.163	2.058	4.075E-14	
ARC	4.159	2.056	3.278E-11	Activity regulated cytoskeletal-associated protein
EGR4	4.123	2.044	5.963E-10	Early growth response 4
NPY	4.103	2.037	3.343E-11	Neuropeptide Y
CYP46A1	4.094	2.034	1.774E-06	Cytochrome P450, family 46, subfamily a, polypeptide 1
CAMK2N1	4.02	2.007	4.516E-13	Calcium/calmodulin-dependent protein kinase II inhibitor 1
HPCAL4	3.867	1.951	4.686E-13	Hippocalcin-like 4
OLFM2	3.842	1.942	1.154E-08	Olfactomedin 2
N28178	3.821	1.934	1.584E-11	Expressed sequence N28178
FNBP1L	3.817	1.932	2.843E-09	Formin binding protein 1-like
FSTL4	3.811	1.93	1.008E-07	Follistatin-like 4
SYT16	3.772	1.915	4.680E-13	
MYL4	3.761	1.911	7.114E-15	
MPPED1	3.675	1.878	2.020E-19	Metallophosphoesterase domain containing 1
ENC1	3.637	1.863	7.501E-16	Ectodermal-neural cortex 1
GRASP	3.615	1.854	2.425E-15	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein
LINGO2	3.608	1.851	2.182E-16	Leucine rich repeat and Ig domain containing 2
GPR83	3.575	1.838	7.661E-14	G protein-coupled receptor 83
AI593442	3.563	1.833	5.937E-08	
ARHGDIG	3.553	1.829	4.350E-11	Rho GDP dissociation inhibitor (GDI) gamma
MEF2C	3.532	1.82	1.744E-08	
DKK3	3.467	1.794	5.394E-12	Transcribed locus
3110035E14RIK	3.466	1.793	4.522E-16	RIKEN cDNA 3110035E14 gene
NCAN	3.466	1.793	6.254E-10	Neurocan
RASGEF1C	3.445	1.784	6.415E-11	RasGEF domain family, member 1C
LTK	3.422	1.775	3.428E-09	Leukocyte tyrosine kinase
STARD8	3.399	1.765	2.825E-08	START domain containing 8
CX3CL1	3.397	1.764	3.053E-07	Chemokine (C-X3-C motif) ligand 1
DRP2	3.391	1.762	5.573E-12	
UNC13B	3.372	1.754	1.938E-11	
B830045N13RIK	3.337	1.739	5.856E-12	
PLD3	3.317	1.73	6.315E-07	Phospholipase D family, member 3
GRIT	3.313	1.728	7.006E-09	
KCNJ4	3.286	1.717	9.213E-05	Potassium inwardly-rectifying channel, subfamily J, member 4
SEPT5	3.281	1.714	1.629E-04	Septin 5
NPAS4	3.271	1.71	7.603E-06	
PLK2	3.237	1.695	8.452E-09	Polo-like kinase 2 (Drosophila)
GPC5	3.218	1.686	3.260E-06	Glypican 5
CXCL14	3.217	1.686	8.989E-06	Chemokine (C-X-C motif) ligand 14
B930041G04	3.18	1.669	5.612E-09	
ARPP19	3.156	1.658	1.698E-09	CAMP-regulated phosphoprotein 19
LINGO1	3.14	1.651	2.292E-09	Leucine rich repeat and Ig domain containing 1
MARK1	3.135	1.648	6.266E-09	MAP/microtubule affinity-regulating kinase 1
CTXN1	3.129	1.646	8.086E-12	Cortexin 1
CHD5	3.099	1.632	1.825E-12	Transcribed locus
SLC1A2	3.051	1.609	1.247E-05	Solute carrier family 1 (glial high affinity glutamate transporter), member 2
6430517E21RIK	3.039	1.604	3.924E-09	
AP1S1	3.033	1.601	1.052E-12	Adaptor protein complex AP-1, sigma 1
OSBPL3	3.021	1.595	2.272E-10	Transcribed locus, weakly similar to XP_242057.4 similar to Oxysterol-binding protein-related prote
HKDC1	3.009	1.59	3.308E-10	Hexokinase domain containing 1
ING2	2.991	1.581	5.540E-07	Hypothetical protein LOC546058
PKNOX2	2.984	1.577	2.425E-15	Pbx/knotted 1 homeobox 2
MKX	2.97	1.571	6.694E-13	Mohawk
DLGAP2	2.96	1.565	4.796E-10	Transcribed locus
ITPKA	2.945	1.558	7.506E-08	Transcribed locus
COBL	2.937	1.554	1.391E-10	
RHOBTB2	2.921	1.547	6.231E-08	Transcribed locus
PRR7	2.906	1.539	1.741E-09	Proline rich 7 (synaptic)
STK32C	2.906	1.539	9.861E-08	
CECR6	2.9	1.536	2.377E-11	
1110008P14RIK	2.854	1.513	2.332E-10	RIKEN cDNA 1110008P14 gene
COL4A2	2.845	1.509	7.359E-12	Collagen, type IV, alpha 2
