Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
RGS9	15.216	3.928	7.076E-16	Regulator of G-protein signaling 9
TMEM10	13.064	3.708	3.816E-15	
ENPP6	10.225	3.354	1.222E-20	Ectonucleotide pyrophosphatase/phosphodiesterase 6
CTGF	10.02	3.325	2.850E-11	Transcribed locus, weakly similar to XP_001104316.1 connective tissue growth factor [Macaca mulatta
ANLN	9.797	3.292	3.825E-11	Anillin, actin binding protein (scraps homolog, Drosophila)
PLXNB3	9.68	3.275	8.596E-19	
ADAMTSL4	8.653	3.113	1.169E-13	ADAMTS-like 4
PPFIBP2	8.491	3.086	3.315E-28	Transcribed locus
MBOAT1	8.379	3.067	3.195E-20	Transcribed locus
GJC2	8.17	3.03	3.211E-18	Gap junction protein, chi 2
HAPLN2	8.012	3.002	1.171E-12	
MAL	7.585	2.923	1.106E-11	Myelin and lymphocyte protein, T-cell differentiation protein
ITGB4	7.463	2.9	3.336E-12	Integrin beta 4
MOBP	6.963	2.8	3.053E-16	Myelin-associated oligodendrocytic basic protein
GAL3ST1	6.957	2.798	1.150E-17	Galactose-3-O-sulfotransferase 1
MCAM	6.785	2.762	1.474E-15	Melanoma cell adhesion molecule
TSPAN2	6.663	2.736	7.279E-13	Tetraspanin 2
LOC100047749	6.56	2.714	5.559E-12	
NDRL	6.325	2.661	4.509E-13	
SRPK3	6.308	2.657	2.351E-15	Serine/arginine-rich protein specific kinase 3
TMEM63A	6.084	2.605	2.479E-11	Transmembrane protein 63a
PIGA	5.901	2.561	1.860E-10	Phosphatidylinositol glycan anchor biosynthesis, class A
IL33	5.825	2.542	6.236E-12	Interleukin 33
1300007L22RIK	5.766	2.528	1.771E-18	
PDLIM2	5.763	2.527	3.471E-15	
NMRAL1	5.689	2.508	1.689E-17	
NDRG1	5.657	2.5	1.030E-08	
UGT8A	5.512	2.463	3.988E-12	UDP galactosyltransferase 8A
PKD2L1	5.335	2.415	3.278E-20	
NOD1	5.303	2.407	3.195E-11	Nucleotide-binding oligomerization domain containing 1
PHLDB1	5.245	2.391	1.594E-12	Pleckstrin homology-like domain, family B, member 1
SH3TC2	5.226	2.386	6.462E-24	
FA2H	5.194	2.377	3.053E-16	Transcribed locus
RAI14	5.166	2.369	8.510E-21	Retinoic acid induced 14
CARHSP1	5.119	2.356	4.007E-10	Calcium regulated heat stable protein 1
EFS	5.102	2.351	6.557E-15	Embryonal Fyn-associated substrate
CAR14	4.92	2.299	1.809E-08	Carbonic anhydrase 14
COL6A1	4.886	2.289	6.213E-14	Collagen, type VI, alpha 1
PLEKHG3	4.848	2.277	4.508E-12	Transcribed locus
B230206H07Rik	4.813	2.267	9.310E-09	
4930506M07RIK	4.786	2.259	2.600E-13	RIKEN cDNA 4930506M07 gene
LUC7L	4.763	2.252	9.290E-12	Luc7 homolog (S. cerevisiae)-like
CDC37L1	4.763	2.252	9.997E-14	
MOG	4.75	2.248	2.142E-08	Myelin oligodendrocyte glycoprotein
ARSG	4.741	2.245	5.559E-12	Arylsulfatase G
MATN4	4.721	2.239	3.336E-12	
CLIC6	4.638	2.214	8.671E-05	Chloride intracellular channel 6
CNP	4.638	2.214	3.093E-12	2',3'-cyclic nucleotide 3' phosphodiesterase
PRR18	4.572	2.193	7.068E-14	Proline rich region 18
ZFP280C	4.558	2.188	8.609E-10	Zinc finger protein 280c
DRD1A	4.54	2.183	3.053E-16	Dopamine receptor D1A
OLFML1	4.508	2.173	2.893E-14	Olfactomedin-like 1
SLC44A1	4.472	2.161	4.114E-13	
RFFL	4.456	2.156	3.336E-12	Ring finger and FYVE like domain containing protein
PLLP	4.327	2.114	3.001E-16	Transcribed locus
PPP1R14A	4.311	2.108	6.557E-15	Protein phosphatase 1, regulatory (inhibitor) subunit 14A
CYP27A1	4.29	2.101	1.645E-13	Cytochrome P450, family 27, subfamily a, polypeptide 1
TNFSF13B	4.277	2.096	4.296E-08	
LRIG3	4.269	2.094	3.471E-15	Leucine-rich repeats and immunoglobulin-like domains 3
6330503K22RIK	4.247	2.087	6.171E-14	
1500015O10RIK	4.244	2.085	2.542E-04	
GRB14	4.201	2.071	8.175E-15	
TMEM98	4.172	2.061	2.825E-22	Transmembrane protein 98
HMHA1	4.168	2.059	2.773E-08	Transcribed locus, moderately similar to XP_234898.4 similar to minor histocompatibility antigen HA
